node_id_org,node_id_dest,distance,highway,oneway,max_speed,lanes,width,bridge,tunnel,surface,service,foot,bicycle
1096527334,1096527767,49.864428,unclassified,,,,,,,,,,
1096527767,1096527915,37.902908,unclassified,,,,,,,,,,
1096527915,1096527831,46.265456,unclassified,,,,,,,,,,
1096527831,1096527272,23.348005,unclassified,,,,,,,,,,
1096527931,1096527878,110.946182,unclassified,,,,,,,,,,
1097993386,1096527769,16.478594,unclassified,,,,,,,paved,,,
1096527769,1096527013,17.677182,unclassified,,,,,,,paved,,,
1096527013,1096526735,23.807033,unclassified,,,,,,,paved,,,
1096526735,1096527851,34.794240,unclassified,,,,,,,paved,,,
1096527851,1097936213,5.042380,unclassified,,,,,,,paved,,,
1096527342,1096527107,47.457494,unclassified,,,,,,,,,,
1096527107,1096527638,23.621121,unclassified,,,,,,,,,,
1096527638,1096526942,45.430494,unclassified,,,,,,,,,,
1096526942,1096526951,16.180118,unclassified,,,,,,,,,,
1096526951,1096527093,13.735568,unclassified,,,,,,,,,,
1096527093,1096527079,9.349482,unclassified,,,,,,,,,,
1096527079,1096527058,9.050914,unclassified,,,,,,,,,,
1096527058,1096527330,18.384159,unclassified,,,,,,,,,,
1096527330,1096527196,28.778927,unclassified,,,,,,,,,,
1096527196,1096527931,3.627620,unclassified,,,,,,,,,,
1096527931,1096527506,11.211959,unclassified,,,,,,,,,,
1096527506,1096527706,23.347979,unclassified,,,,,,,,,,
1096527706,1096527066,5.595777,unclassified,,,,,,,,,,
1096527066,1096527805,22.886205,unclassified,,,,,,,,,,
1096527805,1096527567,19.192863,unclassified,,,,,,,,,,
1096527567,1096527010,15.173426,unclassified,,,,,,,,,,
1096527767,1096526776,51.494522,unclassified,,,,,,,,,,
1096526776,1096527388,11.430603,unclassified,,,,,,,,,,
1096527388,1096526712,33.099467,unclassified,,,,,,,,,,
1096526712,1096527926,24.271887,unclassified,,,,,,,,,,
1096527926,1096527841,27.943935,unclassified,,,,,,,,,,
1096527841,2039903996,19.384278,unclassified,,,,,,,,,,
2039903996,1096527844,40.032734,unclassified,,,,,,,,,,
1096527844,1096527225,34.098443,unclassified,,,,,,,,,,
